,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,gamma,min_child_weight,reg_alpha,reg_lambda,feature_percentage,original_dataset_mean_absolute_error,original_dataset_residuals_std,gamma_sampling_dataset_mean_absolute_error,gamma_sampling_dataset_residuals_std
Bovine viral diarrhoea (2006-)_cattle_vaccine_cov,6.0,0.14342783799892933,400.0,0.6443393030148693,0.6363462465877023,0.030325344526116044,4.0,2.307899593229422,3.2308845768656544,0.11788494388555991,0.019410882366686324,0.06180634149135239,0.014090507321317601,0.04628861703172819
Brucella melitensis (Inf. with)_cattle_vaccine_cov,9.0,0.08195044671874124,80.0,0.9116476537575946,0.901053174789151,0.3688764070863562,2.0,8.775497415373888,7.1676772097367545,0.02788222713742812,0.030313479894294768,0.040090477465957,0.01913146852507426,0.03620370612756264
Leptospirosis_swine_vaccine_cov,5.0,0.17448436390304498,85.0,0.7879620194805238,0.7098339672830758,0.006552326374112815,7.0,8.943547108956931,0.4304499303479614,0.07481286730413123,0.040364524131369796,0.0709972549453202,0.021138815751408076,0.05779588535941007
Newcastle disease_poultry_vaccine_cov,6.0,0.09789621028902898,204.0,0.9854390301699574,0.854604691355066,0.020899724327840985,10.0,4.250849478542475,0.42106221610399897,0.05951210048144537,0.027057651864204793,0.049581144096485855,0.021224997940239576,0.03776061341132687
"Theileria annulata, Theileria orientalis and Theileria parva (Inf. with)_cattle_vaccine_cov",11.0,0.12420370794981897,225.0,0.8209582092097901,0.8652064675684565,0.07065852152411872,13.0,5.945612249267515,5.313948405995195,0.057649361873082054,0.0068175968279603405,0.020329217369974468,0.005985702340807405,0.021722826597826234
Q fever_cattle_vaccine_cov,6.0,0.16922310780704844,188.0,0.9680445167490281,0.7193054125677857,0.004206221766164864,2.0,8.35408390225298,2.9962752077720936,0.07147775137801168,0.054328699116056714,0.11678253932353623,0.024078770401198872,0.0725226265253084
Foot and mouth disease virus (Inf. with)_cattle_vaccine_cov,4.0,0.12745746378518974,252.0,0.639943629348157,0.5030595748947386,0.03905197286156239,6.0,4.532294281612589,5.882203569985283,0.06586463645397059,0.05019716455297239,0.07681759784881666,0.042457280268701866,0.06560645053599408
Mycoplasma synoviae (Avian mycoplasmosis) (Inf. with) (2006-)_poultry_vaccine_cov,9.0,0.19312769468738272,316.0,0.9437016635201577,0.9839094213372869,0.08056680993335319,3.0,0.6350321888091581,4.167464153212864,0.04986550815666567,0.012092076837169957,0.03102827816224783,0.008960016710957908,0.03340618881936094
Rabies virus (Inf. with)_cattle_vaccine_cov,3.0,0.18903979481643352,301.0,0.8500095676225397,0.9927330781625691,0.10797284926650623,7.0,8.072251165981264,6.579092710860132,0.11896397887149904,0.11542686549261715,0.15204776042502802,0.042275601497669714,0.07991776746316656
Bovine babesiosis_cattle_vaccine_cov,3.0,0.0207500040923512,459.0,0.8270414372620608,0.8919103935298678,0.19973739993541614,6.0,0.028056193910352967,7.490446834317659,0.05814473418981339,0.032924448276427126,0.06922346861527896,0.008735211392654128,0.030979551924051996
Mycobacterium tuberculosis complex (Inf. with)(2019-)_cattle_vaccine_cov,8.0,0.12463470151882826,448.0,0.9847014635267111,0.8178157620035242,0.001720602992163811,8.0,0.7635793002312153,2.3904509890048975,0.041577328572850035,0.01609274379869022,0.05366362579645851,0.007554467250872488,0.03112412376969688
Paratuberculosis_cattle_vaccine_cov,12.0,0.15709654940074966,386.0,0.8496245886060136,0.8735107771245186,5.725911584828283e-05,2.0,7.967103919360276,2.1356177356678727,0.02520313523858484,0.013336692606838499,0.048364416463456586,0.010234408430663222,0.03833679916307214
Rabies virus (Inf. with)_swine_vaccine_cov,5.0,0.17216551169724517,421.0,0.6510427533534008,0.56987880349906,0.04341540566082769,15.0,3.0223885479412163,4.391842297945225,0.10611729181526586,0.09102457423220074,0.15565255317627014,0.04197750011159268,0.09221422073249465
Foot and mouth disease virus (Inf. with)_swine_vaccine_cov,11.0,0.12759789400327257,414.0,0.6560402534997218,0.8650129720434507,0.24691526303809774,12.0,1.8405152821900286,8.264068601268866,0.0389448039690994,0.14683066298376168,0.20094427022209496,0.02125711874196127,0.039159568851351946
Aujeszky's disease virus (Inf. with)_swine_vaccine_cov,9.0,0.06652976790383135,67.0,0.9807483613179473,0.9161510367093673,0.26831505041885784,9.0,4.915523490493951,5.606534742710008,0.035130696972828404,0.032267676634628574,0.06519175730464158,0.02245299210474356,0.047067069479367264
Low pathogenic avian influenza (poultry) (2006-2021)_poultry_vaccine_cov,10.0,0.07199933842081481,206.0,0.7057061351107241,0.7249704111098019,0.04142189399276219,3.0,5.85257554470186,1.7479534253002704,0.07935533478564721,0.008845317678338478,0.02128214015639995,0.004909023989085716,0.013663359689925849
Bluetongue virus (Inf. with)_cattle_vaccine_cov,6.0,0.031965564122977956,202.0,0.8557658353578711,0.8513054059328704,0.25227393658002434,11.0,2.982012843004749,5.709966462237893,0.03891755824980481,0.12724053024409393,0.24359076343910163,0.02920602768675882,0.06887963130400224
Anthrax_swine_vaccine_cov,3.0,0.11072714877578259,442.0,0.8553265451356208,0.9647455548151456,0.06882695119614057,14.0,0.9642169544692536,0.05076897516552936,0.06549712468004873,0.08890696089305732,0.15112315719708552,0.028499865507331974,0.055160901343069384
Leptospirosis_cattle_vaccine_cov,3.0,0.16521902955766565,282.0,0.8962942443821473,0.689139743605704,0.4526518891278786,14.0,2.4122708441432437,1.7213788791753915,0.10940274237373288,0.034355335920337016,0.06223098846114108,0.021452527764297978,0.04443177088303332
Anthrax_cattle_vaccine_cov,9.0,0.14835140975146424,269.0,0.660741235768773,0.8969418337942925,0.1990296958594542,14.0,6.421792887711885,5.157304219498256,0.028362430451351655,0.05060906303127971,0.10289014623349486,0.030789531132972888,0.051881281424962226
Fowl typhoid_poultry_vaccine_cov,6.0,0.15561003406414647,101.0,0.9529484917015727,0.6801330409663241,0.1409452544051452,3.0,0.5083653303649192,9.525946075366985,0.03836126943292073,0.024083632461258372,0.06799611778523336,0.007450304872537652,0.018282615635471886
Classical swine fever virus (Inf. with)_swine_vaccine_cov,7.0,0.11345338505967703,374.0,0.558095565336758,0.9532417575299171,0.3741372389776825,5.0,9.87764345647173,7.225825866755696,0.041335122170753094,0.06379604197524574,0.10376835622459586,0.03780243351584094,0.06309591203730341
Lumpy skin disease virus (Inf. with)_cattle_vaccine_cov,9.0,0.17690277933113074,306.0,0.6600514464562278,0.5045563691750454,0.017401581418031664,12.0,0.08626637548799887,6.505755167655343,0.09055574299147776,0.04646777848262042,0.07676267249156163,0.008888227700329238,0.015585538699285036
Porcine reproductive and respiratory syndrome virus (Inf. with)_swine_vaccine_cov,9.0,0.13348737568877578,243.0,0.8459655078630988,0.7559265997551741,0.0016675224766650454,13.0,6.110669943510328,9.1349518245832,0.10485134308726612,0.0061939460853843225,0.015438142631686618,0.003552888659740208,0.011296454953854814
Infectious bursal disease (Gumboro disease)_poultry_vaccine_cov,3.0,0.09565068982272133,440.0,0.7706747041155338,0.988427151035002,0.07670584811811774,5.0,8.08127237715777,8.192338547850687,0.07820022670676961,0.04601545863179643,0.0753022000589382,0.030968375823154357,0.0527216916109248
Infectious bovine rhinotracheitis/infectious pustular vulvovaginitis_cattle_vaccine_cov,10.0,0.18287697557177623,279.0,0.9811418737091842,0.9206419413547805,0.3057783299638971,10.0,7.814746217260443,8.124498223142488,0.1171695807779349,0.028400135947539793,0.056652069916007644,0.012012350531900721,0.0260039982964072
Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)_poultry_vaccine_cov,8.0,0.1687981113734317,436.0,0.9839246538306867,0.9773721262244174,0.023118867900923858,7.0,5.516599185313107,4.336465311927497,0.025680671069570567,0.013493993860109136,0.024369432237253918,0.008383315018822063,0.02094931370177368
Haemorrhagic septicaemia (Pasteurella multocida serotypes 6:b and 6:e)_cattle_vaccine_cov,5.0,0.19718865791804435,205.0,0.5023606466789619,0.6557512191709426,0.008954256468862498,3.0,6.093704534495657,4.343107624132185,0.06096310158091957,0.06108796521171732,0.10259989950750953,0.019416854275094257,0.040020627590304864
Avian infectious laryngotracheitis_poultry_vaccine_cov,5.0,0.07138919445793575,295.0,0.581002457164334,0.5253073164732862,0.18985591738155366,5.0,8.695485950525862,7.812778049434465,0.048466766107870186,0.02168745214327463,0.039787238606787706,0.01651219960123863,0.03668548194692588
Brucella suis (Inf. with)_swine_vaccine_cov,3.0,0.09841776257820713,122.0,0.9260339054485847,0.7036504111023132,0.005537493556062506,6.0,0.5364476684882822,6.083257957058684,0.10701703357572682,0.0038089686881893096,0.011378040422784246,0.002799104857297063,0.013076836262526734
Pullorum disease_poultry_vaccine_cov,3.0,0.04906816192048678,331.0,0.8956819396368961,0.8844928511527775,0.13493814920677197,2.0,4.083697620250872,2.905933768522069,0.03841609141571747,0.03908096708045097,0.07949717969628263,0.013436557343228295,0.03170326148674404
Enzootic bovine leukosis_cattle_vaccine_cov,5.0,0.19873555161120876,405.0,0.6782560872416252,0.5769902034057454,0.07440788788214833,5.0,9.363260046762427,2.968984936730746,0.11928922502033391,0.01929609345422212,0.049669681066339136,0.013057396575881983,0.04878106633400032
African swine fever virus (Inf. with)_swine_vaccine_cov,9.0,0.1299686028910667,200.0,0.8552173777076766,0.9919716973020289,0.002569668531952129,2.0,0.8785630180719016,9.75994525662107,0.0921388328280803,0.002436542363554838,0.009809188307241925,0.0009262696410071052,0.006970722050251958
Mycoplasma gallisepticumÂ (Avian mycoplasmosis) (Inf. with)_poultry_vaccine_cov,5.0,0.16827433850337456,281.0,0.5488592749815557,0.8156887990496607,0.316222839013931,14.0,4.4362611860294665,7.740794330716875,0.05465814904123275,0.014148017141955915,0.04022770473281726,0.010439501552249498,0.026370348614749642
Marek's disease (-2011)_poultry_vaccine_cov,9.0,0.18820094049804953,114.0,0.5305936971193055,0.5909452674673594,0.03028204045573793,10.0,9.232461512903473,5.69041325389346,0.09147367401457618,0.028692311685360676,0.06677132842749707,0.010986420498822789,0.027963353519323428
Bovine tuberculosis (-2018)_cattle_vaccine_cov,10.0,0.18089178826165928,481.0,0.5503727327650423,0.927392161297435,0.09892352094901627,13.0,6.959246796577528,6.187010482627915,0.11602307076376835,0.00990961813643097,0.03130052688225315,0.007585458541999222,0.032719469571645725
Avian infectious bronchitis_poultry_vaccine_cov,6.0,0.12557498664431269,242.0,0.7957042920756211,0.8960504212959488,0.03127913498928303,4.0,2.2968173775476366,9.39607373550212,0.04124193339061664,0.037268638804199464,0.07584221125859204,0.009161301393296212,0.01672207732384172
Brucella abortus (Inf. with)_cattle_vaccine_cov,12.0,0.18419653619350118,326.0,0.9211292426359318,0.6147744717983414,0.2112290616373575,9.0,6.861200505291607,9.356430731245183,0.11053856569630693,0.02412377741005166,0.042043734225316036,0.01308196073013691,0.026210300763706302
Fowl pox (-2005)_poultry_vaccine_cov,11.0,0.11340279305467078,471.0,0.6600626130052301,0.9997989684320034,0.013985684899949433,3.0,1.5588680395386374,2.626607089998293,0.05892689264622271,0.027957064171589514,0.08122130438261956,0.003745585686250877,0.010373579717084145
Mycoplasma mycoides subsp. mycoides SC (Inf. with) (Contagious bovine pleuropneumonia)_cattle_vaccine_cov,3.0,0.11866726128045146,408.0,0.860984338003199,0.9166095412460235,0.0985583288479793,8.0,3.544947766051079,5.511690636677753,0.05153722140844526,0.05656943255957495,0.08582840475612805,0.02372745367031604,0.04255886545233976
Fowl cholera (-2011)_poultry_vaccine_cov,7.0,0.07742923701992563,288.0,0.8888942152494393,0.9728553969389542,0.07502870034435341,3.0,3.918178729006721,1.4616900009001639,0.06420583448522785,0.02403483182051484,0.09747408994283395,0.0067235928152524944,0.024058772010972437
High pathogenicity avian influenza viruses (poultry) (Inf. with)_poultry_vaccine_cov,6.0,0.09491031909397209,306.0,0.700566854151861,0.8791002472189006,0.08213417999445677,12.0,6.229990368778214,0.3256890320116441,0.027128078825248772,0.016255085995238436,0.04609817520984173,0.00853088522249451,0.02168920327986416
Trypanosomosis (tsetse-transmitted) (-2021)_cattle_vaccine_cov,10.0,0.11915352199041297,81.0,0.8116260126986061,0.9514572219075945,0.3793498187678345,14.0,0.9235573510133023,4.049496584459577,0.0447083555038284,0.03211898480811159,0.09168714863077933,0.015359613851994849,0.041187567524432166
Bovine anaplasmosis_cattle_vaccine_cov,5.0,0.1819647586340935,84.0,0.579365733933584,0.8189306586263875,0.054676294740024944,5.0,1.7517431467377231,9.252621453819845,0.11395216781352664,0.02251562040470039,0.05287015330305136,0.011467357809481113,0.04013058326313338
